id,name,abbreviation,foia_officer_title,foia_email,foia_address,foia_phone,foia_fax,response_days,portal_url
195,Federal Deposit Insurance Corporation,FDIC,FOIA Officer,,"FOIA Contact, Legal Division, FOIA/PA Group
550 17th Street, NW
Washington
DC
20429",202-898-7021,,20,https://efoiarequest.fdic.gov/palMain.aspx?protocol=https
196,Federal Election Commission,FEC,FOIA Officer,foia@fec.gov,"FOIA Contact, FOIA Requester Service Center
1050 First Street, NE
Washington
DC
20463",202-694-1100,,20,https://www.fec.gov/freedom-information-act/#foia-documents-and-the-e-foia-reading-room
23,Federal Emergency Management Agency,FEMA,FOIA Officer,fema-foia@fema.dhs.gov,"Federal Emergency Management Agency, FOIA Officer,
500 C Street, SW, Room 840
Washington
DC
20472",202-646-3323,,20,https://www.dhs.gov/dhs-foia-privacy-act-request-submission-form
197,Federal Energy Regulatory Commission,FERC,FOIA Officer,foia@ferc.gov,"Benjamin Williams, Director, Office of External Affairs
888 First Street NE
Washington
DC
20426",202-502-6088,,20,https://www.ferc.gov/enforcement-legal/foia/electronic-foia-privacy-act-request-form
198,Federal Financial Institutions Examination Council,FFIEC,FOIA Officer,,"Judith E. Dupre, Executive Secretary, E-2035-C
3501 Fairfax Drive
Arlington
VA
22226-3550",703-516-5590,,20,https://www.ffiec.gov/foia.htm
121,Federal Highway Administration,FHWA,FOIA Officer,foia.officer@dot.gov,"HQ: Federal Highway Administration  Attn: FOIA Officer
1200 New Jersey Avenue, SE
Washington
DC
20590",202-366-8408,,20,https://www.fhwa.dot.gov/foia/err.cfm
552,Federal Housing Finance Agency,FHFA,FOIA Officer,,,,,20,
24,Federal Law Enforcement Training Center,FLETC,FOIA Officer,fletc-foia@dhs.gov,"Federal Law Enforcement Training Center, FOIA Officer
1131 Chapel Crossing Road, Building #681
Glynco
GA
31524",912-267-3103,,20,https://www.dhs.gov/dhs-foia-privacy-act-request-submission-form
210,Federal Maritime Commission,FMC,FOIA Officer,FOIA@FMC.gov,"Secretary, Federal Maritime Commission
800 North Capitol Street, NW
Washington
DC
20573",202-523-5725,,20,https://www.fmc.gov/about-the-fmc/freedom-of-information-act-requests-reports/
211,Federal Mediation and Conciliation Service,FMCS,FOIA Officer,,"Anna Davis, Chief FOIA Officer
250 E Street, SW
Washington
DC
20427",202-606-3737,,20,https://www.fmcs.gov/resources/forms-applications/general-foia-request-form/
212,Federal Mine Safety and Health Review Commission,FMSHRC,FOIA Officer,sgeorge@fmshrc.gov,"Chief FOIA Officer
1331 Pennsylvania, NW, Suite 520N
Washington
DC
20004-1710",2024349935,,20,http://www.fmshrc.gov/foia/foia-request-form
124,Federal Motor Carrier Safety Administration,FMCSA,FOIA Officer,,"Jennifer Weatherly, FOIA/PA Contact (MC-MMI), W64-304
1200 New Jersey Avenue, SE
Washington
DC
20590",202-366-2960,,20,https://www.fmcsa.dot.gov/foia/foia-electronic-reading-room
213,Federal Open Market Committee,FOMC,FOIA Officer,,"20th Street and Constitution Avenue NW
Washington
DC
20551",202-973-7400,,20,https://fomc.secureocp.com/
597,Federal Permitting Improvement Steering Council,FPISC-Main,FOIA Officer,foia@permitting.gov,"Federal Permitting Improvement Steering Council / Attn: FOIA Office
1800 G Street, NW Suite 9100
Washington
DC
20036",,,20,https://www.permitting.gov/foia-reading-room
582,Federal Protective Service,FPS,FOIA Officer,,"DHS Privacy Office, Mail Stop 0655
2707 Martin Luther King Jr. AVE SE
Washington
DC
20528",202-343-1743,,20,http://www.dhs.gov/dhs-foia-request-submission-form
122,Federal Railroad Administration,FRA,FOIA Officer,,"Linda Martin, Assistant Chief Counsel, Acting FRA FOIA Officer
1200 New Jersey Avenue, SE
Washington
DC
20590",202-493-6039,,20,https://railroads.dot.gov/freedom-information-act-foia
214,Federal Reserve System,FRB,FOIA Officer,,"Federal Reserve System
2001 C Street, NW
Washington
DC
20551",202-452-3684,,20,https://www.federalreserve.gov/secure/forms/efoiaform.aspx
215,Federal Retirement Thrift Investment Board,FRTIB,FOIA Officer,,"Amanda Haas, FOIA Officer, 10th Floor
77 K Street, NE
Washington
DC
20002",202-942-1660,,20,https://www.frtib.gov/ReadingRoom/index.html
467,Federal Student Aid,FSA,FOIA Officer,,,,,20,
216,Federal Trade Commission,FTC,FOIA Officer,,"Freedom of Information Act Request Office of General Counsel
600 Pennsylvania Avenue, NW H-585
Washington
DC
20580",202-326-2735,,20,https://www.ftc.gov/foia/request-form
123,Federal Transit Administration,FTA,FOIA Officer,,"Nancy Sipes, FOIA/PA Contact, E42-315
1200 New Jersey Avenue, SE
Washington
DC
20590",202-366-2496,,20,https://www.transit.dot.gov/foia/foia-electronic-reading-room
539,Field Office,FO,FOIA Officer,,,,,20,
329,Financial Crimes Enforcement Network,FinCEN,FOIA Officer,FinCENFOIA@fincen.gov,"Terri Robertson, Disclosure (FOIA) Office
P.O. Box 39
Vienna
VA
22183",703-905-5034,,20,https://www.fincen.gov/reading-room-records
541,Financial Management Service,FMS,FOIA Officer,,,,,20,
362,Food Safety and Inspection Service,FSIS,FOIA Officer,,"1400 Independence Avenue SW
South Building, Room 1170
Washington
DC
20250",(202) 720-2109,,20,https://efoia-pal.usda.gov/
227,Food and Drug Administration,FDA,FOIA Officer,,"FDA Division of Headquarters Freedom of Information, Office of the Executive Secretariat, OC 
5630 Fishers Lane, Room 1035
Rockville
MD
20857",301-796-3900,,20,https://www.accessdata.fda.gov/scripts/foi/foirequest/requestform.cfm
560,Food and Nutrition Consumer Service,FNCS,FOIA Officer,,,,,20,
361,Food and Nutrition Service,FNS,FOIA Officer,FOIA-FNS@usda.gov,"Food & Nutrition Service
1320 Braddock Place
Alexandria
VA
22314",(703) 605-0773,,20,https://efoia-pal.usda.gov/
363,Foreign Agricultural Service,FAS,FOIA Officer,usdafoia@usda.gov,"1400 Independence Avenue SW
Room 4039-A
Washington
DC
20250-0706",202-690-3318,,20,https://efoia-pal.usda.gov/
97,Foreign Claims Settlement Commission,FCSC,FOIA Officer,,"Jeremy LaFrancois, Chief Administrative Counsel, Room 6330
441 G Street, NW 
Washington
DC
20579",202-616-6975,,20,https://www.justice.gov/fcsc/foia-library
364,Forest Service,FS,FOIA Officer,SM.FS.WOFOIA@usda.gov,"USDA Forest Service
201 14th Street SW
Washington
DC
20250",(202) 205-1542,,20,https://efoia-pal.usda.gov/
550,General Services Administration,GSA,FOIA Officer,,,,,20,
268,George Bush Presidential Library,GBPL,FOIA Officer,bush.library@nara.gov,"George Bush Presidential Library and Museum
1000 George Bush Drive
West College Station
TX
77845",979-691-4000,,20,
270,George W. Bush Presidential Library,LP-GWB,FOIA Officer,gwbush.library@nara.gov,"George W. Bush Presidential Library and Museum
2943 SMU Blvd
Dallas
TX
75205-2300",214-346-1650,,20,
275,Glenn Research Center,GRC,FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30
300 E Street, SW
Washington
DC
20546",,,20,https://pal.hq.nasa.gov/
276,Goddard Space Flight Center,GSFC,FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30
300 E Street, SW
Washington
DC
20546",,,20,https://pal.hq.nasa.gov/
59,Golden Field Office,GFO,FOIA Officer,,"Jason Hadnot, FOIA Officer, Mail Stop RSF DOE
15013 Denver West Parkway
Golden
CO
80401",,,20,https://www.eere-pmc.energy.gov/externalaffairs/FOIARequest.aspx
446,"Grain Inspection, Packers and Stockyards Administration",GIPSA,FOIA Officer,,,,,20,
128,Great Lakes St. Lawrence Seaway Development Corporation,GLS,FOIA Officer,,"Michael Bell, FOIA Officer, W94-122
1200 New Jersey Avenue, SE
Washington
DC
20590",202-366-4542,,20,https://www.seaway.dot.gov/publications/electronic-reading-room
217,Gulf Coast Ecosystem Restoration Council,GCERC,FOIA Officer,Lisa.Robertson@restorethegulf.gov,"Lisa Robertson, FOIA Officer, Suite 1117
500 Poydras Street
New Orleans
LA
70130",504-884-7685,,20,https://www.restorethegulf.gov/resources/council-documents-foia-library
555,HQ Postal Service,PS,FOIA Officer,,,,,20,
233,Harry S. Truman Scholarship Foundation,HSTSF,FOIA Officer,,"Tara Yglesias, FOIA Officer
712 Jackson Place, NW
Washington
DC
20006",,,20,
49,Headquarters,HQ,FOIA Officer,,"Alexander Morris, FOIA Officer, Mail Stop MA-46
1000 Independence Avenue, SW
Washington
DC
20585",202-586-3159,,20,http://energy.gov/doe-headquarters-foia-request-form
191,Headquarters,HQ,FOIA Officer,FOIA@exim.gov,"Lennell C. Jackson, FOIA Contact
811 Vermont Avenue, NW
Washington
DC
20571",202-565-3290,,20,http://www.exim.gov/about/foia/foia-request-form
199,Headquarters,FHFA-HQ,FOIA Officer,FOIA@fhfa.gov,"Constitution Center
400 7th Street, S.W. 4th Floor
Washington
DC
20024",202-649-3803,,20,https://www.fhfa.gov/AboutUs/FOIAPrivacy/Pages/Reading-Room.aspx
218,Headquarters,GSA-Main,FOIA Officer,gsa.foia@gsa.gov,"FOIA Contact, FOIA Requester Service Center (LG)
1800 F. Street, NW
Washington
DC
20405",202-219-3078,,20,https://securefoia.gsa.gov
234,Headquarters,HQ,FOIA Officer,,"Chief, Room 10139
451 7th Street, SW
Washington
DC
20410-3000",202-708-3866,,20,https://hudpal.efoia-host.com/
251,Headquarters,MSPB,FOIA Officer,foia@mspb.gov,"1615 M Street, NW
Washington
DC
20419",202-653-7200,,20,https://www.mspb.gov/FOIA/e-foiareadingroom.htm
272,Headquarters,HQ,FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30
300 E Street, SW
Washington
DC
20546",,,20,https://pal.hq.nasa.gov/
459,Headquarters,HQ,FOIA Officer,,"National FOIA Office, Office of General Counsel, US Environmental Protection Agency
1200 Pennsylvania Avenue, NW, Mail Code 2310A
Washington
DC
20460",202-566-1667,,20,https://foiapublicaccessportal.epa.gov/
18,Headquarters & Privacy Office,PRIV,FOIA Officer,foia@hq.dhs.gov,"Privacy Office, Mail Stop 0655
2707 Martin Luther King Jr. AVE SE
Washington
DC
20528-0655",202-343-1743,,20,https://www.dhs.gov/dhs-foia-privacy-act-request-submission-form
228,Health Resources and Services Administration,HRSA,FOIA Officer,foia@hrsa.gov,"HRSA FOIA Office, 5600 Fishers Lane, Room 13N32
Rockville
MD
20857",301-443-1467,,20,https://www.hrsa.gov/foia/electronic-reading.html
577,Heritage Abroad,HA,FOIA Officer,uscommission@heritageabroad.gov,"1050 Connecticut Ave., NW
Suite 500
Washington
DC
20036",12022543824,,20,https://www.heritageabroad.gov/about
549,Housing and Urban Development,Agency,FOIA Officer,,,,,20,
169,Houston District Office (New Orleans Field Office),Houston,FOIA Officer,,"Yvette Stewart, Records Disclosure Coordinator
Mickey Leland Federal Building, 1919 Smith Street, 7th Floor
Houston
TX
77002",346-327-7705,,20,https://eeoc.arkcase.com/foia/portal/login
98,INTERPOL-United States National Central Bureau,USNCB,FOIA Officer,,"Jessica Younger, FOIA Public Liaison, Office of General Counsel
CG-3 15th Floor
Washington
DC
20530-0001",202-616-0201,,20,https://www.justice.gov/interpol-washington/foia-library
51,Idaho Operations Office,ID,FOIA Officer,,"Anna Christensen, FOIA Officer, MS 1203
1955 Fremont Avenue
Idaho Falls
ID
83401",208-526-4223,,20,http://www.id.energy.gov/foia/RequestForm.aspx
48,Immediate Office of the Secretary,IOS,FOIA Officer,IOSFOIA@doc.gov,"Office of Privacy and Open Government
1401 Constitution Avenue NW, Room 61025
Washington
DC
20230",202-482-3257,,20,https://foia-pal.commerce.gov
229,Indian Health Service,IHS,FOIA Officer,IHSFOIAMailbox@ihs.gov,"Indian Health Service FOIA Office, Division of Regulatory and Policy Coordination (DRPC)
5600 Fishers Lane, Mailstop 09E70
Rockville
MD
20857",301-443-1116,,20,https://www.ihs.gov/foia/foiarequest/foiarequestform/
170,Indianapolis District Office (Detroit Field Office; Cincinnati and Louisville Area Offices),Indianapolis,FOIA Officer,,"Donna E. Williams, Records Disclosure Coordinator
115 W. Washington Street South, Suite 600
Indianapolis
IN
46204-4203",463-999-1139,,20,https://eeoc.arkcase.com/foia/portal/login
507,Information Law Division,InfoLaw,FOIA Officer,FOIAappeals@doc.gov,"1401 Constitution Ave NW
Washington
DC
20230",,,20,
468,Institute of Education Sciences,IES,FOIA Officer,,,,,20,
469,Institute of Education Sciences - National Assessment Governing Board,IES-NAGB,FOIA Officer,,,,,20,
246,Institute of Museum and Library Services,IMLS,FOIA Officer,foia@imls.gov,"955 L'Enfant Plaza North, SW
Suite 4000
Washington
DC
20024",2026534657,,20,https://www.imls.gov/form/foia-request-form
245,Inter-American Foundation,IAF,FOIA Officer,foia@iaf.gov,"1331 Pennsylvania Avenue, NW 
3rd Floor South
Washington
DC
20004",,,20,https://www.iaf.gov/foia
333,Internal Revenue Service - Headquarters Office,IRS,FOIA Officer,,"Internal Revenue Service, GLDS Support Services Stop 211
P.O. Box 621506
Atlanta
GA
30362-3006",312-292-2929,,20,https://www.irs.gov/uac/electronic-reading-room
40,International Trade Administration,ITA,FOIA Officer,FOIA@trade.gov,"1401 Constitution Avenue NW
Room 40003
Washington
DC
20230",202-482-5436,,20,https://foia-pal.commerce.gov
247,James Madison Memorial Fellowship Foundation,JMMFF,FOIA Officer,,"Oliver Alwes, FOIA Officer
1613 Duke Street
Alexandria
VA
22314",571-858-4208,,20,
277,Jet Propulsion Laboratory,JPL,FOIA Officer,,"JPL FOIA Office, NASA Management Office
4800 Oak Grove Drive
Pasadena
CA
91109-8001",,,20,https://pal.hq.nasa.gov/
340,Jobs Corps,JOB CORP,FOIA Officer,,"Maria Sanders, FOIA Disclosure Officer
200 Constitution Avenue, NW
Washington
DC
20210",202-693-3101,,20,
278,Johnson Space Center,JSC,FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30
300 E Street, SW
Washington
DC
20546",,,20,https://pal.hq.nasa.gov/
152,Joint Personnel Recovery Agency,JPRA,FOIA Officer,,"FOIA Requester Service Center
10244 Burbeck Road
Fort Belvoir
VA
22060-5805",703-704-0637,,20,https://www.jpra.mil/links/FOIA/RFI.html
99,Justice Management Division,JMD,FOIA Officer,,"Daniel Wagner, FOIA Contact, Room 1111 RFK
950 Pennsylvania Avenue NW
Washington
DC
20530-0001",(202) 616-0253,,20,https://www.justice.gov/jmd/foia-library
279,Kennedy Space Center,KSC,FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30
300 E Street, SW
Washington
DC
20546",,,20,https://pal.hq.nasa.gov/
280,Langley Research Center,LaRC,FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30
300 E Street, SW
Washington
DC
20546",,,20,https://pal.hq.nasa.gov/
556,Law Department Appeals only,LD Appeals,FOIA Officer,,,,,20,
567,Legal Services Corporation,LSC,FOIA Officer,,,,,20,
579,Legal Services Corporation - Main,LSC - Main,FOIA Officer,,,,,20,
171,"Los Angeles District Office (Fresno, Honolulu, Las Vegas, and San Diego Local Offices)",Los Angeles,FOIA Officer,,"Kathleen Gilliam, Records Disclosure Coordinator
255 E. Temple Street, 4th Floor
Los Angeles
CA
90012",213-785-3078,,20,https://eeoc.arkcase.com/foia/portal/login
288,Main Office,NCUA - Main,FOIA Officer,foia@ncua.gov,"1775 Duke Street
Alexandria
VA
22314",703-518-1570,,20,https://ncua.gov/foia/library
310,Main Office,FOIA Office,FOIA Officer,foia@peacecorps.gov,"1275 First Street, NE
Washington
DC
20526-0001",,,20,https://pc.secureocp.com/
335,Main Office,DOL Main,FOIA Officer,,"Ramona Branch Oliver, Director, Office of Information Services , Office of the Solicitor/MALS Division, Room N-2420
200 Constitution Avenue, NW
Washington
DC
20210",202-693-5391,,20,
353,Main Office,RRB - Main,FOIA Officer,,"Ana M. Kocur, General Counsel/Chief FOIA Officer
844 North Rush Street
Chicago
IL
60611-1275",312-751-4948,,20,https://secure.rrb.gov/efoia/
523,Management Directorate,MGMT,FOIA Officer,,,,,20,
250,Marine Mammal Commission,MMC,FOIA Officer,,"Michael Gosliner, FOIA Officer, Suite 700
4340 East-West Highway
Bethesda
MD
20814",301-504-0087,,20,
126,Maritime Administration,MARAD,FOIA Officer,,"T. Mitchell Hudson, Jr., FOIA Officer, Division of Legislation and Regulations, W24-220
1200 New Jersey Avenue, SE
Washington
DC
20590",202-366-5320,,20,https://www.marad.dot.gov/about-us/foia/electronic-reading-room/
281,Marshall Space Flight Center,MSFC,FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30
300 E Street, SW
Washington
DC
20546",,,20,https://pal.hq.nasa.gov/
172,Memphis District Office (Little Rock and Nashville Area Offices),Memphis,FOIA Officer,,"Mark Adams, Records Disclosure Coordinator
1407 Union Avenue, 9th Floor
Memphis
TN
38104",901-685-4648,,20,https://eeoc.arkcase.com/foia/portal/login
173,Miami District Office (Tampa Field Office and San Juan Local Office),Miami,FOIA Officer,,"Fredricka Warren & Alicia Powell, Records Disclosure Coordinators
100 SE Street, Suite 1500
Miami
FL
33131",786-648-5822,,20,https://eeoc.arkcase.com/foia/portal/login
248,Millennium Challenge Corporation,MCC,FOIA Officer,,"Susan Gerson, Chief FOIA Officer
1099 14th St. NW Ste 700
Washington
DC
20005",202-521-3600,,20,https://www.mcc.gov/resources/foia/requests
341,Mine Safety & Health Administration,MSHA,FOIA Officer,,"Lanesia Washington, FOIA Officer, Room 5W231
12th Street South
Arlington
VA
22202",202-693-9542,,20,
528,Minerals Management Service,MMS,FOIA Officer,,,,,20,
41,Minority Business Development Agency,MBDA,FOIA Officer,FOIA@mbda.gov,"1401 Constitution Avenue NW
Room 5093
Washington
DC
20230",202-482-2332,,20,https://foia-pal.commerce.gov
249,Morris K. Udall and Stewart L. Udall Foundation,MKUF,FOIA Officer,franks@udall.gov,"Morris K. Udall and Stewart L. Udall  Foundation
434 E. University Blvd., Suite 300
Tucson
AZ
85705",5203068898,,20,https://udall.gov/AboutUs/FOIA.aspx
482,Multiple Offices Assigned,M,FOIA Officer,,,,,20,
283,NASA Shared Services Center,NSSC,FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30
300 E Street, SW
Washington
DC
20546",,,20,https://pal.hq.nasa.gov/
365,National Appeals Division,NAD,FOIA Officer,,"1400 Independence Avenue, SW
Room 4104-S
Washington
DC
20250-0706",202-690-3318,,20,https://efoia-pal.usda.gov/
445,National Archives and Records Administration,NARA,FOIA Officer,,,,,20,
255,National Archives at Atlanta,ATL,FOIA Officer,,"National Archvies at Atlanta
57800 Jonesboro Road
Morrow
GA
30260",770-968-2100,,20,
256,National Archives at Boston,BOS,FOIA Officer,,"Frederick C. Murphy Federal Center
380 Trapelo Road
Waltham
MA
02452-6399",781-663-0130,,20,
257,National Archives at Chicago,CHI,FOIA Officer,,"National Archives at Chicago
7358 South Pulaski Road
Chicago
IL
60629-5898",773-948-9001,,20,
258,National Archives at Denver,DEN,FOIA Officer,,"National Archives in Denver
17101 Huron St.
Broomfield
CO
80223",303-407-5740,,20,
259,National Archives at Fort Worth,FW,FOIA Officer,,"National Archives at Ft Worth
1400 John Burgess Drive
Fort Worth
TX
76140",817-831-5620,,20,
260,National Archives at Kansas City,KS-CITY,FOIA Officer,,"National Archvies at Kansas City
400 West Pershing Road
Kansas City
MO
64108",816-268-8000,,20,
261,National Archives at New York City,NYC,FOIA Officer,,"National Archives at New York
1 Bowling Green
New York
NY
10004",212-401-1620,,20,
262,National Archives at Philadelphia,PHIL,FOIA Officer,,"National Archives at Philadelphia
14700 Townsend Road
Philadelphia
PA
19154-1096",215-305-2044,,20,
263,National Archives at Riverside,RIV,FOIA Officer,,"National Archives at Riverside
23123 Cajalco Road
Perris
CA
92570",951-956-2000,,20,
264,National Archives at San Francisco,SF,FOIA Officer,,"Leo J. Ryan Memorial Federal Bldg
100 Commodore Drive
San Bruno
CA
94066-2350",650-238-3501,,20,
265,National Archives at Seattle,SEA,FOIA Officer,,"National Archives at Seattle
6125 Sand Point Way, NE
Seattle
WA
98115-7999",206-336-5115,,20,
266,National Archives at St. Louis,SL,FOIA Officer,,"National Archives at St. Louis
1 Archives Drive
St. Louis
MO
63138",,,20,
447,National Background Investigations Bureau,NBIB,FOIA Officer,,,,,20,
287,National Capital Planning Commission,NCPC,FOIA Officer,,"Meghan Hottel-Cox, Chief FOIA Officer, North Lobby, Suite 500
401 9th Street, NW
Washington
DC
20004",202-482-7200,,20,
389,National Cemetery Administration,NCA,FOIA Officer,cemncafoia@va.gov,"Department of Veterans Affairs, (43D) VACO
810 Vermont Avenue, NW
Washington
DC
20420",202 948-6706,,20,https://www.va.gov/FOIA/Requests.asp
440,"National Commission on Military, National, and Public Service",NCMNPS,FOIA Officer,,"National Commission on Military, National, and Public Service
2530 Crystal Drive, Suite 1000, Box No. 63
Arlington
VA
22202",,,20,
286,National Council on Disability,NCD,FOIA Officer,,"1331 F St. NW. Ste. 850
Washington
DC
20004",202-731-5910,,20,https://foia@ncd.gov
443,National Credit Union Administration,NCUA,FOIA Officer,,,,,20,
513,National Drug Intelligence Center,NDIC,FOIA Officer,,,,,20,
290,National Endowment for the Arts,NEA,FOIA Officer,FOIA@arts.gov,"400 7th Street, SW
ATTN:NEA-OGC/FOIA
Washington
DC
20506",202-682-5418,,20,https://www.arts.gov/about/foia/library
291,National Endowment for the Humanities,NEH,FOIA Officer,,"Freedom of Information Act Officer
400 7th Street SW, 4th Floor
Washington
DC
20506",202-606-8322,,20,http://www.neh.gov/about/foia/submit-request-online
66,National Energy Technology Laboratory,NETL,FOIA Officer,,"Erika Fincham, FOIA Officer, M/S 922/M214
P.O. Box 10940
Pittsburgh
PA
15236-0940",412-386-6167,,20,http://www.netl.doe.gov/home/foai-request-form
366,National Finance Center,NFC,FOIA Officer,,"1400 Independence Avenue, SW
Room 4039-A
Washington
DC
20250-0706",202-690-3318,,20,https://efoia-pal.usda.gov/
146,National Geospatial-Intelligence Agency,NGA,FOIA Officer,FOIANGA@nga.mil,"7500 GEOINT Drive
Mail Stop N22-SISM
Springfield
VA
22150",(703) 601 6799,,20,https://www.nga.mil/About/Pages/FOIA.aspx
147,National Guard Bureau,NGB,FOIA Officer,ngb.foia@army.mil,"Office of Information and Privacy (NGB/JA-OIP)
111 South George Mason Drive, AH2
Arlington
VA
22204-1373",844-573-2939,,20,http://www.nationalguard.mil/Resources/FOIA/Reading-Room/
125,National Highway Traffic Safety Administration,NHTSA,FOIA Officer,,"FOIA Contact, NHTSA Executive Secretariat, W41-304
1200 New Jersey Avenue, SE
Washington
DC
20590",202-366-1834,,20,https://www.nhtsa.gov/about-nhtsa/electronic-reading-room
292,National Indian Gaming Commission,NIGC,FOIA Officer,foia@nigc.gov,"1849 C Street, NW, MS 1621
Washington
DC
20240",202-632-7003,,20,https://www.nigc.gov/freedom-of-information-act-electronic-reading-room/
42,National Institute of Standards and Technology,NIST,FOIA Officer,foia@nist.gov,"100 Bureau Drive
Mail Stop 1710
Gaithersburg
MD
20899-1710",301-975-4074,,20,https://foia-pal.commerce.gov
230,National Institutes of Health,NIH,FOIA Officer,,"NIH FOIA Office, Building 31, Room 5B35
31 Center Drive, MSC 2107
Bethesda
MD
20892-2107",301-496-5633,,20,https://www.nih.gov/institutes-nih/nih-office-director/office-communications-public-liaison/freedom-information-act-office/nih-foia-library
293,National Labor Relations Board,NLRB HQ,FOIA Officer,synta.keeling@nlrb.gov,"NLRB FOIA Branch
1015 Half Street SE, Ste. 4000
Washington
DC
20570",(202) 273-2995,,20,https://www.securerelease.us/
509,National Labor Relations Board,NLRB,FOIA Officer,,,,,20,
294,National Mediation Board,NMB,FOIA Officer,,"Maria-Kate Dowling,  General Counsel, Suite 250E
1301 K Street, NW
Washington
DC
20005",202-692-5040,,20,http://www.nmb.gov/documents/press-contacts/reading-room-certificate.pdf
56,National Nuclear Security Administration,NNSA,FOIA Officer,,"Annie Maxfield, FOIA Officer
P.O. Box 5400
Albuquerque
NM
87185-5400",866-747-5994,,20,http://nnsa.energy.gov/aboutus/ouroperations/generalcounsel/foia/howtosubmitfoiareq
45,National Oceanic and Atmospheric Administration,NOAA,FOIA Officer,FOIA@noaa.gov,"NOAA FOIA Office (SOU 10000)
1315 East-West Highway, Room 9719
Silver Spring
MD
20910",301-628-5658,,20,https://foia-pal.commerce.gov
74,National Park Service,NPS,FOIA Officer,npsfoia@nps.gov,"Nicholas Banco FOIA Officer
1849 C Street, Room 2214
Washington
DC
20240",202-641-1621,,20,https://www.nps.gov/aboutus/foia/foia-reading-room.htm
589,National Passenger Railroad Corporation Headquarters,NRPC HQ,FOIA Officer,rebecca.conner@amtrak.com,"1 Massachusetts Ave NW
FOIA Office
Washington
DC
20001",,,20,https://www.amtrak.com/about-amtrak/foia.html
431,National Personnel Records Center - Military,NPRC-M,FOIA Officer,,"1 Archives Drive  
St. Louis
MO
63138-1002",314-801-0800,,20,https://vetrecs.archives.gov/VeteranRequest/home.html
295,National Railroad Passenger Corporation (AMTRAK),NRPC,FOIA Officer,,"Rebecca Conner, Manager, Records and Information Management
 One  Massachusetts Avenue, NW
Washington
DC
20001",202-906-3215,,20,https://www.amtrak.com/about-amtrak/foia.html
148,National Reconnaissance Office,NRO,FOIA Officer,,"ATTN: COMM/Information Review and Release Group
14675 Lee Road
Chantilly
VA
20151-1715",703-745-0600,,20,http://www.nro.gov/foia/RequestInput.aspx
296,National Science Foundation,NSF,FOIA Officer,foia@nsf.gov,"Freedom of Information Act Officer
2415 Eisenhower Avenue, Suite W 18200
Alexandria
VA
22314",703-292-8060,,20,https://www.nsf.gov/publications/ods/
149,National Security Agency,NSA,FOIA Officer,foiarsc@nsa.gov,"9800 Savage Rd.
Suite 6932
Fort Meade
MD
20755-6932",301-688-6527,,20,https://www.nsa.gov/about/contact-us/Submit-a-FOIA-Request/
510,National Security Commission on Artificial Intelligence,NSCAI,FOIA Officer,FOIA@nscai.gov,"National Security Commission on Artificial Intelligence ATTN: FOIA Request
2530 Crystal Drive, Box 45
Arlington
VA
22202",703-614-6386,,20,https://www.nscai.gov/about
100,National Security Division,NSD,FOIA Officer,,"Arnetta Mallory, Government Information Specialist, 3 Constitution Square
175 N Street N.E., 12th Floor
Washington
DC
20530",202-233-2639,,20,https://www.justice.gov/nsd/nsd-foia-library
43,National Technical Information Service,NTIS,FOIA Officer,,"Office of Administrative Management
5301 Shawnee Road
Alexandria
VA
22312",703-605-6543,,20,https://foia-pal.commerce.gov
44,National Telecommunications and Information Administration,NTIA,FOIA Officer,eFOIA@ntia.gov,"Office of the Chief Counsel
1401 Constitution Avenue NW, Room 4713
Washington
DC
20230",202-482-1816,,20,https://foia-pal.commerce.gov
297,National Transportation Safety Board,NTSB,FOIA Officer,,"National Transportation Safety Board
Attn:  FOIA Requester Service Center, CIO-40  490 L'Enfant Plaza, SW
Washington
DC
20594",202-314-6540,,20,https://foiarequest.ntsb.gov/palMain.aspx
367,Natural Resources Conservation Service,NRCS,FOIA Officer,SM.FP.FOIA@usda.gov,"1400 Independence Avenue, SW
South Building, Room 3203
Washington
DC
20250-9410",(202) 590-6168,,20,https://efoia-pal.usda.gov/
450,Naval Reactors Laboratory Field Office,NRLFO,FOIA Officer,,"P.O. Box 109
Attn:  C. P. Nunn
West Mifflin
PA
15122-0109",412-476-7202,,20,
298,Neighborhood Reinvestment Corporation,NW,FOIA Officer,FOIA@nw.org,"Neighborhood Reinvestment Corporation c/o Chief FOIA Officer
1255 Union St, NE, Suite 500
Washington
DC
20002",202-733-6989,,20,https://www.neighborworks.org/About-Us/Public-Policy/FOIA/Reading-room
174,New York District Office (Boston and Newark Area Offices; Buffalo Local Office),New York,FOIA Officer,,"Shynee Eason, Records Disclosure Coordinator
33 Whitehall Street, 5th Floor
New York
NY
10004",929-506-5272,,20,https://eeoc.arkcase.com/foia/portal/login
